,title,name,type,img
48,Historical Figures (1700s),Giacomo Casanova,ENTP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
49,Historical Figures (1900s),Henry Kissinger,ENTP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
50,Historical Figures (1900s),Grand Duchess Anastasia,ENFP,https://www.personality-database.com/profile_images/55084.png
51,Historical Figures (1900s),Rosa Parks,ISFJ,https://www.personality-database.com/profile_images/2420.png
52,Historical Figures (1st Century CE),Pontius Pilate,ESTJ,https://www.personality-database.com/profile_images/16047.png
53,Historical Figures (1900s),Francisco Franco,ISFJ,https://www.personality-database.com/profile_images/19875.png
54,Historical Figures (500s),Justinian I,ENFP,https://www.personality-database.com/profile_images/4842.png
55,Historical Figures (1500s),Suleiman the Magnificent,ISTJ,https://www.personality-database.com/profile_images/23075.png
56,Historical Figures (400's),Attila the Hun,ENTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
57,Historical Figures (1900s),Charles de Gaulle,INTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
58,Historical Figures (1800s),Empress Elisabeth of Austria,INFP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
59,Historical Figures (1900s),Hirohito (裕仁),INFP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
60,Historical Figures (1900s),Albert Speer,INTP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
61,Historical Figures (1900s),Hồ Chí Minh,INFJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
62,Historical Figures (200's),Zhuge Liang,INTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
63,Historical Figures (1900s),Hermann Göring,ESTP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
64,Historical Figures (1800s),Queen Victoria,ISTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
65,Historical Figures (1900s),Hugo Chávez,ENFP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
66,Historical Figures (1500s),Ivan the Terrible,ENTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
67,Historical Figures (1100s),"Saladin, Ayyubid Sultan",INFJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
68,Historical Figures (1900s),Nicholas II,ISFJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
69,Historical Figures (1500s),Catherine of Aragon,ESTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
70,Historical Figures (1900s),Josip Broz Tito,ENTJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
71,Historical Figures (1900s),Mohammad Reza Pahlavi,ISFP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
72,Historical Figures (1900s),"Jacqueline ""Jackie"" Kennedy Onassis",ISFP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
73,Historical Figures (200's),Liu Bei,ENFJ,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
74,Historical Figures (1st Century CE),Claudius,INTP,https://pdb-web-static.s3.us-east-2.amazonaws.com/category_icon/cat_22.png
75,Historical Figures (1900s),Reza Shah,ENTJ,https://www.personality-database.com/profile_images/28926.png
76,Historical Figures (1900s),Getúlio Vargas,ENTJ,https://www.personality-database.com/profile_images/15818.png
77,Historical Figures (1st Millenium BCE),Darius the Great,INTJ,https://www.personality-database.com/profile_images/36753.png
78,Historical Figures (1500s),Hurrem Sultan,ENTJ,https://www.personality-database.com/profile_images/154610.png
79,Historical Figures (1100s),Eleanor of Aquitaine,ENFJ,https://www.personality-database.com/profile_images/109024.png
